ID,Topic,Difficulty,Question,Option1,Correct1,Option2,Correct2,Option3,Correct3,Option4,Correct4
169,psychology,EASY,What is the term for a feeling of extreme sadness that lasts for a long time? ,Phobia,FALSE,Depression,TRUE,Anxiety,FALSE,Stress,FALSE
170,psychology,EASY,What is the primary focus of forensic psychology? ,Mental disorders,FALSE,Psychological aspects of legal issues,TRUE,Social behavior,FALSE,Cognitive development,FALSE
171,psychology,EASY,What is the term for the psychological process of adjusting to a significant life change? ,Adjustment,FALSE,Coping,FALSE,Adaptation,TRUE,Resilience,FALSE
172,psychology,EASY,What is the focus of cognitive-behavioral therapy? ,Changing negative thought patterns and behaviors,TRUE,Emotional regulation,FALSE,Social skills training,FALSE,Mental disorder diagnosis,FALSE
173,psychology,EASY,What is the term for a persistent need to perform certain behaviors to relieve anxiety? ,Anxiety disorder,FALSE,Obsession,FALSE,Compulsion,TRUE,Phobia,FALSE
174,psychology,EASY,What is the primary goal of therapy for individuals with anxiety disorders? ,Diagnose disorders,FALSE,Reduce anxiety symptoms,TRUE,Enhance self-awareness,FALSE,Analyze behavior,FALSE
175,psychology,EASY,What is the term for the mental process of organizing and interpreting sensory information? ,Recognition,FALSE,Perception,TRUE,Attention,FALSE,Sensation,FALSE
176,psychology,EASY,What is the focus of community mental health? ,Cognitive development,FALSE,Improving mental health services in communities,TRUE,Social behavior,FALSE,Mental disorders,FALSE
177,psychology,EASY,What is the term for the biological system that regulates mood and emotion? ,Immune system,FALSE,Nervous system,FALSE,Circulatory system,FALSE,Endocrine system,TRUE
178,psychology,EASY,What is the primary focus of industrial psychology? ,Child development,FALSE,Workplace behavior and productivity,TRUE,Cognitive processes,FALSE,Mental disorders,FALSE
179,psychology,EASY,What is the term for a psychological condition characterized by intense fear of being alone? ,Monophobia,FALSE,Agoraphobia,FALSE,Autophobia,TRUE,Claustrophobia,FALSE
180,psychology,EASY,What is the focus of cultural psychology? ,Cognitive development,FALSE,Social behavior,FALSE,Influence of culture on psychological processes,TRUE,Mental disorders,FALSE
181,psychology,EASY,What is the term for a cognitive bias that leads people to perceive themselves as more favorable than others? ,Self-serving bias,TRUE,Actor-observer bias,FALSE,Confirmation bias,FALSE,Fundamental attribution error,FALSE
182,psychology,EASY,What is the primary goal of family therapy? ,Diagnose individual issues,FALSE,Enhance communication,FALSE,Improve family relationships,TRUE,Analyze behavior,FALSE
183,psychology,EASY,What is the term for a significant drop in performance due to the presence of others? ,Social facilitation,FALSE,Social loafing,TRUE,Groupthink,FALSE,Conformity,FALSE
184,psychology,EASY,What is the primary focus of adolescent psychology? ,Mental disorders,FALSE,Social behavior,FALSE,Cognitive processes,FALSE,Developmental changes during adolescence,TRUE
185,psychology,EASY,What is the term for the psychological phenomenon where individuals conform to group norms? ,Compliance,FALSE,Groupthink,FALSE,Conformity,TRUE,Obedience,FALSE
186,psychology,EASY,What is the term for the psychological process that involves recognizing and understanding emotions in oneself and others? ,Social intelligence,FALSE,Practical intelligence,FALSE,Emotional intelligence,TRUE,Cognitive intelligence,FALSE
187,psychology,EASY,What is the primary focus of neuropsychology? ,Brain-behavior relationships,TRUE,Cognitive processes,FALSE,Social behavior,FALSE,Developmental psychology,FALSE
188,psychology,EASY,What is the term for the psychological state of being unable to make decisions? ,Confusion,FALSE,Indecision,TRUE,Ambivalence,FALSE,Doubt,FALSE
189,psychology,EASY,What is the primary focus of behavioral therapy? ,Enhance self-awareness,FALSE,Change maladaptive behaviors,TRUE,Analyze thoughts,FALSE,Diagnose disorders,FALSE
190,psychology,EASY,What is the term for the cognitive distortion that involves viewing situations in black-and-white terms? ,Dichotomous thinking,TRUE,Cognitive dissonance,FALSE,Overgeneralization,FALSE,Emotional reasoning,FALSE
191,psychology,EASY,What is the term for the psychological condition characterized by a preoccupation with food and body weight? ,Phobia,FALSE,Depression,FALSE,Eating disorder,TRUE,Anxiety disorder,FALSE
192,psychology,EASY,What is the term for the psychological treatment that focuses on changing unhealthy behaviors through reinforcement? ,Behavior modification,TRUE,Cognitive therapy,FALSE,Humanistic therapy,FALSE,Psychoanalysis,FALSE
193,psychology,EASY,What is the primary focus of addiction psychology? ,Cognitive processes,FALSE,Understanding and treating substance use disorders,TRUE,Mental disorders,FALSE,Social behavior,FALSE
194,psychology,EASY,What is the term for the psychological state characterized by extreme enthusiasm or euphoria? ,Phobia,FALSE,Mania,TRUE,Depression,FALSE,Anxiety,FALSE
195,psychology,EASY,What is the primary focus of health psychology? ,Psychological factors in health and illness,TRUE,Cognitive development,FALSE,Mental disorders,FALSE,Social behavior,FALSE
196,psychology,EASY,What is the term for the psychological condition involving recurring. unwanted thoughts and/or repetitive behaviors? ,Generalized anxiety disorder,FALSE,Obsessive-compulsive disorder,TRUE,Post-traumatic stress disorder,FALSE,Panic disorder,FALSE
197,psychology,EASY,What is the term for a treatment approach that focuses on unresolved issues from childhood? ,Humanistic therapy,FALSE,Behavioral therapy,FALSE,Psychoanalytic therapy,TRUE,Cognitive therapy,FALSE
198,psychology,EASY,What is the focus of school psychology? ,Support students' mental health and learning,TRUE,Social behavior,FALSE,Mental disorders,FALSE,Cognitive development,FALSE
199,psychology,EASY,What is the term for the mental process of developing a plan to solve a problem? ,Critical thinking,FALSE,Strategic thinking,FALSE,Problem-solving,TRUE,Decision-making,FALSE
200,psychology,MEDIUM,What is the main technique used in cognitive-behavioral therapy? ,Mindfulness meditation,FALSE,Exposure therapy,FALSE,Free association,FALSE,Cognitive restructuring,TRUE
201,psychology,MEDIUM,Which neurotransmitter is primarily associated with mood regulation? ,Acetylcholine,FALSE,Serotonin,TRUE,Norepinephrine,FALSE,Dopamine,FALSE
202,psychology,MEDIUM,What is the term for the phenomenon where people are less likely to help someone in need when there are other witnesses? ,Bystander effect,TRUE,Diffusion of responsibility,FALSE,Social loafing,FALSE,Groupthink,FALSE
203,psychology,MEDIUM,Who developed the theory of operant conditioning? ,Carl Rogers,FALSE,Albert Bandura,FALSE,Sigmund Freud,FALSE,B.F. Skinner,TRUE
204,psychology,MEDIUM,What is the primary focus of humanistic psychology? ,Behavioral changes,FALSE,Unconscious motives,FALSE,Cognitive processes,FALSE,Personal growth and self-actualization,TRUE
205,psychology,MEDIUM,Which type of memory is responsible for holding information temporarily? ,Long-term memory,FALSE,Short-term memory,TRUE,Working memory,FALSE,Sensory memory,FALSE
206,psychology,MEDIUM,What is the term for an unreliable source of information that can distort perceptions? ,Opinion,FALSE,Truth,FALSE,Bias,TRUE,Fact,FALSE
207,psychology,MEDIUM,What psychological condition is characterized by persistent feelings of sadness? ,Bipolar disorder,FALSE,Anxiety,FALSE,Schizophrenia,FALSE,Depression,TRUE
208,psychology,MEDIUM,"Which psychologist is known for the ""bobo doll"" experiment? ",B.F. Skinner,FALSE,Erik Erikson,FALSE,Albert Bandura,TRUE,John Watson,FALSE
209,psychology,MEDIUM,What is the process called when we adopt the traits or behaviors of others? ,Acculturation,FALSE,Assimilation,FALSE,Socialization,TRUE,Conformity,FALSE
210,psychology,MEDIUM,What stage of development is characterized by the struggle for identity? ,Adulthood,FALSE,Adolescence,TRUE,Early childhood,FALSE,Infancy,FALSE
211,psychology,MEDIUM,What is the term for a mental shortcut that allows for rapid decisions? ,Algorithm,FALSE,Prototype,FALSE,Schema,FALSE,Heuristic,TRUE
212,psychology,MEDIUM,Which approach in psychology emphasizes the study of observable behavior? ,Humanistic psychology,FALSE,Cognitive psychology,FALSE,Psychoanalysis,FALSE,Behaviorism,TRUE
213,psychology,MEDIUM,What is the primary focus of developmental psychology? ,Cognitive processes,FALSE,Human development across the lifespan,TRUE,Social interactions,FALSE,Mental illness diagnosis,FALSE
214,psychology,MEDIUM,What type of psychological research involves observing behavior in a natural setting? ,Survey method,FALSE,Experimental method,FALSE,Case study,FALSE,Naturalistic observation,TRUE
215,psychology,MEDIUM,Which term refers to the mental process of acquiring knowledge and understanding? ,Cognition,TRUE,Emotion,FALSE,Behavior,FALSE,Perception,FALSE
216,psychology,MEDIUM,What is the psychological term for a sudden realization of a problem's solution? ,Logic,FALSE,Intuition,FALSE,Observation,FALSE,Insight,TRUE
217,psychology,MEDIUM,What is the primary focus of forensic psychology? ,Sports performance,FALSE,Legal issues and the criminal justice system,TRUE,Cognitive behavior,FALSE,Child development,FALSE
218,psychology,MEDIUM,What is the term for a defense mechanism that involves attributing one's unacceptable thoughts to others? ,Sublimation,FALSE,Rationalization,FALSE,Projection,TRUE,Displacement,FALSE
219,psychology,MEDIUM,Which psychological theory focuses on the role of reinforcement and punishment in shaping behavior? ,Operant conditioning,TRUE,Humanistic theory,FALSE,Psychoanalytic theory,FALSE,Cognitive theory,FALSE
220,psychology,MEDIUM,What is the primary focus of social psychology? ,How individuals influence and are influenced by others,TRUE,Individual mental processes,FALSE,Neurological functions,FALSE,Childhood development,FALSE
221,psychology,MEDIUM,What is the term for a psychological disorder characterized by excessive worry? ,Panic disorder,FALSE,Generalized anxiety disorder,TRUE,Social anxiety disorder,FALSE,Obsessive-compulsive disorder,FALSE
222,psychology,MEDIUM,Which term describes the phenomenon where minorities influence the majority's beliefs? ,Conformity,FALSE,Groupthink,FALSE,Minority influence,TRUE,Social facilitation,FALSE
223,psychology,MEDIUM,What is the name of the experiment that demonstrated the power of authority figures on obedience? ,Stanford prison experiment,FALSE,Milgram experiment,TRUE,Asch conformity experiment,FALSE,Bobo doll experiment,FALSE
224,psychology,MEDIUM,What is the term for the process of organizing and interpreting sensory information? ,Perception,TRUE,Sensation,FALSE,Cognition,FALSE,Attention,FALSE
225,psychology,MEDIUM,What do we call the set of guidelines that govern ethical research with human participants? ,Debriefing,FALSE,Informed consent,TRUE,Random assignment,FALSE,Confidentiality,FALSE
226,psychology,MEDIUM,Which part of the brain is primarily involved in regulating emotions? ,Thalamus,FALSE,Cerebellum,FALSE,Hippocampus,FALSE,Amygdala,TRUE
227,psychology,MEDIUM,What is the primary method used in qualitative research? ,Surveys,FALSE,Observations,FALSE,Experiments,FALSE,Interviews,TRUE
228,psychology,MEDIUM,What term describes an individual's overall evaluation of their own worth? ,Self-awareness,FALSE,Self-esteem,TRUE,Self-efficacy,FALSE,Self-concept,FALSE
229,psychology,MEDIUM,What is the focus of clinical psychology? ,Cognitive processes,FALSE,Developmental trends,FALSE,Social behaviors,FALSE,Diagnosis and treatment of mental disorders,TRUE
230,psychology,MEDIUM,What psychological perspective focuses on unconscious drives and conflicts? ,Behavioral perspective,FALSE,Humanistic perspective,FALSE,Cognitive perspective,FALSE,Psychodynamic perspective,TRUE
231,psychology,MEDIUM,What is the term for the phenomenon when learning occurs without immediate reinforcement? ,Latent learning,TRUE,Operant conditioning,FALSE,Classical conditioning,FALSE,Insight learning,FALSE
232,psychology,MEDIUM,Which disorder is characterized by alternating periods of mania and depression? ,Bipolar disorder,TRUE,Schizophrenia,FALSE,Major depressive disorder,FALSE,Anxiety disorder,FALSE
233,psychology,MEDIUM,What is the term for the tendency to seek information that confirms one’s preexisting beliefs? ,Hindsight bias,FALSE,Confirmation bias,TRUE,Framing effect,FALSE,Anchoring bias,FALSE
234,psychology,MEDIUM,What is the process of strengthening a behavior by providing a consequence that is rewarding? ,Punishment,FALSE,Conditioning,FALSE,Reinforcement,TRUE,Extinction,FALSE
235,psychology,MEDIUM,What is the term for an individual’s unique and relatively stable pattern of thinking. feeling.  and behaving? ,Personality,TRUE,Mood,FALSE,Emotion,FALSE,Temperament,FALSE
236,psychology,MEDIUM,What is the primary focus of health psychology? ,How psychological factors affect health and illness,TRUE,Mental disorders,FALSE,Child development,FALSE,Social relationships,FALSE
237,psychology,MEDIUM,What is the term for the emotional bond between a child and their primary caregiver? ,Attachment,TRUE,Trust,FALSE,Dependency,FALSE,Affection,FALSE
238,psychology,MEDIUM,What cognitive bias leads people to overestimate the likelihood of events based on recent experiences? ,Anchoring bias,FALSE,Availability heuristic,TRUE,Representativeness heuristic,FALSE,Confirmation bias,FALSE
239,psychology,MEDIUM,What is the psychological term for the fear of social situations? ,Agoraphobia,FALSE,Specific phobia,FALSE,Generalized anxiety disorder,FALSE,Social anxiety disorder,TRUE
240,psychology,MEDIUM,Which psychologist is known for the hierarchy of needs theory? ,Carl Jung,FALSE,Abraham Maslow,TRUE,B.F. Skinner,FALSE,John Watson,FALSE
241,psychology,MEDIUM,What is the fundamental attribution error? ,Underestimating personality traits,FALSE,Overemphasizing personality traits over situational factors,TRUE,Overestimating situational factors,FALSE,Attributing others' behavior to chance,FALSE
242,psychology,MEDIUM,What is the term for a person’s belief in their ability to succeed? ,Self-efficacy,TRUE,self-confidence,FALSE,self-worth,FALSE,self-esteem,FALSE
243,psychology,MEDIUM,What is the technique used in therapy to help clients visualize and confront their fears? ,Desensitization,FALSE,Exposure therapy,TRUE,Aversion therapy,FALSE,Cognitive restructuring,FALSE
244,psychology,MEDIUM,What type of reinforcement schedule provides rewards after a random number of responses? ,Fixed interval schedule,FALSE,Fixed ratio schedule,FALSE,Variable ratio schedule,TRUE,Variable interval schedule,FALSE
245,psychology,MEDIUM,What psychological assessment tool is commonly used to assess personality traits? ,Rorschach test,FALSE,Wechsler Scale,FALSE,MMPI,TRUE,Beck Depression Inventory,FALSE
246,psychology,MEDIUM,What is the term for the balance between one's actions and the environment? ,Dissonance,FALSE,Adaptation,FALSE,Equilibrium,FALSE,Homeostasis,TRUE
247,psychology,MEDIUM,Which psychological approach emphasizes the importance of free will and personal growth? ,Psychoanalytic psychology,FALSE,Cognitive psychology,FALSE,Behavioral psychology,FALSE,Humanistic psychology,TRUE
248,psychology,MEDIUM,What is the term for the gradual weakening of a conditioned response? ,Extinction,TRUE,Generalization,FALSE,Discrimination,FALSE,Habituation,FALSE
249,psychology,MEDIUM,What is the primary focus of neuropsychology? ,Societal influences,FALSE,Relationship between brain function and behavior,TRUE,Mental disorders,FALSE,Childhood development,FALSE
250,psychology,MEDIUM,What is the term for the phenomenon where a person feels less responsibility to act when others are present? ,Groupthink,FALSE,Diffusion of responsibility,TRUE,Social loafing,FALSE,Bystander effect,FALSE
251,psychology,MEDIUM,Which theory suggests that emotions are based on physiological arousal and cognitive interpretation? ,James-Lange theory,FALSE,Cannon-Bard theory,FALSE,Opponent-process theory,FALSE,Schachter-Singer theory,TRUE
252,psychology,MEDIUM,What is the primary method used to study brain activity? ,EEG,FALSE,CT scan,FALSE,X-ray,FALSE,fMRI,TRUE
253,psychology,MEDIUM,What is the term for a memory that is not easily recalled but can affect behavior? ,Explicit memory,FALSE,Working memory,FALSE,Short-term memory,FALSE,Implicit memory,TRUE
254,psychology,MEDIUM,Which cognitive bias leads individuals to favor information that confirms their existing beliefs? ,Anchoring bias,FALSE,Availability heuristic,FALSE,Self-serving bias,FALSE,Confirmation bias,TRUE
255,psychology,MEDIUM,What is the term for the stage of sleep characterized by rapid eye movement? ,NREM sleep,FALSE,REM sleep,TRUE,Stage 1 sleep,FALSE,Stage 2 sleep,FALSE
256,psychology,MEDIUM,Which psychological theory emphasizes the importance of social learning? ,Social learning theory,TRUE,Psychoanalytic theory,FALSE,Cognitive development theory,FALSE,Behaviorism,FALSE
257,psychology,MEDIUM,What is the primary focus of environmental psychology? ,Emotional health,FALSE,Social behavior,FALSE,Human development,FALSE,Interaction between humans and their environment,TRUE
258,psychology,MEDIUM,What is the primary goal of cognitive therapy? ,Uncover unconscious conflicts,FALSE,Modify behavior through reinforcement,FALSE,Change maladaptive thinking patterns,TRUE,Provide unconditional positive regard,FALSE
259,psychology,MEDIUM,What is the primary focus of a clinical psychologist? ,Social interaction analysis,FALSE,Diagnosis and treatment of mental illness,TRUE,Research on human behavior,FALSE,Education and teaching,FALSE
260,psychology,MEDIUM,What is the term for the tendency to attribute personal successes to internal factors and failures to external factors? ,Fundamental attribution error,FALSE,Optimism bias,FALSE,Just-world hypothesis,FALSE,Self-serving bias,TRUE
261,psychology,MEDIUM,What type of memory is primarily involved in recalling facts and events? ,Working memory,FALSE,Implicit memory,FALSE,Procedural memory,FALSE,Declarative memory,TRUE
262,psychology,MEDIUM,What is the term for a psychological disorder characterized by repetitive.  intrusive thoughts? ,Post-traumatic stress disorder,FALSE,Panic disorder,FALSE,Obsessive-compulsive disorder,TRUE,Generalized anxiety disorder,FALSE
263,psychology,MEDIUM,Which psychological approach focuses on the role of unconscious processes? ,Behaviorism,FALSE,Cognitive psychology,FALSE,Psychoanalysis,TRUE,Humanistic psychology,FALSE
264,psychology,MEDIUM,What is the term for the process by which individuals learn social norms and values? ,Socialization,TRUE,Enculturation,FALSE,Acculturation,FALSE,Assimilation,FALSE
265,psychology,MEDIUM,What is the term for the mental process of categorizing objects or events? ,Generalization,FALSE,Labeling,FALSE,Discrimination,FALSE,Classification,TRUE
266,psychology,MEDIUM,What is the primary focus of sports psychology? ,Physical training,FALSE,Nutrition,FALSE,Mental factors influencing sports performance,TRUE,Team dynamics,FALSE
267,psychology,MEDIUM,What is the term for a strategy that involves breaking down a problem into smaller parts? ,Trial and error,FALSE,Problem decomposition,TRUE,Heuristic search,FALSE,Brainstorming,FALSE
268,psychology,MEDIUM,What is the term for the tendency to perceive oneself in an overly favorable manner? ,Self-enhancement bias,TRUE,Illusory superiority,FALSE,Optimism bias,FALSE,Self-serving bias,FALSE
269,psychology,MEDIUM,What psychological concept refers to the brain's ability to reorganize itself? ,Neuroplasticity,TRUE,Myelination,FALSE,Homeostasis,FALSE,Neurogenesis,FALSE
270,psychology,MEDIUM,What is the term for a mental framework that organizes and interprets information? ,Heuristic,FALSE,Prototype,FALSE,Script,FALSE,Schema,TRUE
271,psychology,MEDIUM,Which psychological disorder is characterized by an irrational fear of a specific object or situation? ,Anxiety disorder,FALSE,OCD,FALSE,Phobia,TRUE,Generalized anxiety disorder,FALSE
272,psychology,MEDIUM,What is the term for the phenomenon where individuals perform better on tasks when in the presence of others? ,Groupthink,FALSE,Conformity,FALSE,Social facilitation,TRUE,Social loafing,FALSE
273,psychology,MEDIUM,Which term describes the process of gradually exposing a person to their fear? ,Conditioning,FALSE,Extinction,FALSE,Reinforcement,FALSE,Desensitization,TRUE
274,psychology,MEDIUM,What is the primary focus of adolescent psychology? ,Adult mental health,FALSE,Childhood behavior,FALSE,Developmental changes during adolescence,TRUE,Senior citizen issues,FALSE
275,psychology,MEDIUM,What is the psychological term for a person’s belief in their abilities to perform specific tasks? ,Self-efficacy,TRUE,Self-worth,FALSE,Self-esteem,FALSE,Self-concept,FALSE
276,psychology,MEDIUM,What is the term for a psychological defense mechanism where one reverts to behaviors characteristic of an earlier stage of development? ,Regression,TRUE,Projection,FALSE,Displacement,FALSE,Repression,FALSE
277,psychology,MEDIUM,What is the primary goal of community psychology? ,Individual therapy,FALSE,Improving quality of life in communities,TRUE,Research on mental disorders,FALSE,Societal norms analysis,FALSE
278,psychology,MEDIUM,What is the term for a mental shortcut that simplifies decision-making? ,Algorithm,FALSE,Schema,FALSE,Heuristic,TRUE,Model,FALSE
279,psychology,MEDIUM,What is the primary focus of educational psychology? ,Learning processes and teaching methods,TRUE,Child development,FALSE,Social behaviors,FALSE,Mental disorders,FALSE
280,psychology,MEDIUM,What is the phenomenon where people conform to group pressure? ,Obedience,FALSE,Social facilitation,FALSE,Conformity,TRUE,Groupthink,FALSE
281,psychology,MEDIUM,Which method of research involves manipulating variables to determine cause and effect? ,Survey method,FALSE,Experimental method,TRUE,Cross-sectional method,FALSE,Longitudinal method,FALSE
282,psychology,MEDIUM,What is the term for a systematic approach to solving problems? ,Problem-solving,TRUE,Trial and error,FALSE,Insight,FALSE,Intuition,FALSE
283,psychology,MEDIUM,What is the focus of cross-cultural psychology? ,Child psychology,FALSE,Differences and similarities across cultures,TRUE,Group dynamics,FALSE,Individual behavior,FALSE
284,psychology,MEDIUM,What type of therapy focuses on changing negative thought patterns? ,Cognitive therapy,TRUE,Behavioral therapy,FALSE,Psychoanalytic therapy,FALSE,Humanistic therapy,FALSE
285,psychology,MEDIUM,What is the term for the relationship between physical health and psychological factors? ,Clinical psychology,FALSE,Social psychology,FALSE,Health psychology,TRUE,Developmental psychology,FALSE
286,psychology,MEDIUM,What is the process of interpreting and making sense of sensory information called? ,Attention,FALSE,Sensation,FALSE,Perception,TRUE,Cognition,FALSE
287,psychology,MEDIUM,What is the name of the cognitive bias where people believe they are less biased than others? ,Self-serving bias,FALSE,Bias blind spot,TRUE,Optimism bias,FALSE,Overconfidence bias,FALSE
288,psychology,MEDIUM,What is the primary focus of family therapy? ,Improving family relationships,TRUE,Coping skills,FALSE,Individual behavior,FALSE,Mental illness diagnosis,FALSE
289,psychology,MEDIUM,What is the term for the phenomenon where the presence of others reduces an individual's motivation to perform? ,Conformity,FALSE,Diminished responsibility,FALSE,Groupthink,FALSE,Social loafing,TRUE
290,psychology,MEDIUM,What is the term for a psychological condition where a person experiences delusions and hallucinations? ,Bipolar disorder,FALSE,Anxiety disorder,FALSE,Schizophrenia,TRUE,Major depressive disorder,FALSE
291,psychology,MEDIUM,What is the term for the psychological pattern of thinking that leads to poor decision-making due to overconfidence? ,Cognitive bias,TRUE,Optimism bias,FALSE,Groupthink,FALSE,Anchoring bias,FALSE
292,psychology,MEDIUM,What is the primary focus of narrative therapy? ,Cognitive restructuring,FALSE,Social behavior analysis,FALSE,Behavior modification,FALSE,Stories and personal narratives,TRUE
293,psychology,MEDIUM,What is the term for the tendency to favor information that confirms pre-existing beliefs? ,Anchoring bias,FALSE,Confirmation bias,TRUE,Self-serving bias,FALSE,Availability heuristic,FALSE
294,psychology,MEDIUM,What is the primary role of a psychiatrist? ,Researching human behavior,FALSE,Prescribing medication and treatment for mental illness,TRUE,Conducting therapy,FALSE,Teaching psychology,FALSE
295,psychology,MEDIUM,What is the term for a fear of open or public places? ,Claustrophobia,FALSE,Specific phobia,FALSE,Social anxiety disorder,FALSE,Agoraphobia,TRUE
296,psychology,MEDIUM,What is the term for the tendency to perceive a person as more attractive when they are similar to oneself? ,Attractiveness bias,TRUE,Similarity effect,FALSE,Proximity effect,FALSE,Reciprocity effect,FALSE
297,psychology,MEDIUM,What is the main goal of cognitive-behavioral therapy? ,To modify behavior through reinforcement,FALSE,To change negative thought patterns,TRUE,To explore unconscious motives,FALSE,To enhance self-acceptance,FALSE
298,psychology,MEDIUM,What is the psychological term for the brain's ability to adapt and reorganize itself? ,Cortical mapping,FALSE,Neurogenesis,FALSE,Neuroplasticity,TRUE,Hemisphere lateralization,FALSE
299,psychology,MEDIUM,What is the term for a psychological disorder characterized by persistent intrusive thoughts and compulsive behaviors? ,Bipolar disorder,FALSE,Generalized anxiety disorder,FALSE,Post-traumatic stress disorder,FALSE,Obsessive-compulsive disorder,TRUE
300,psychology,MEDIUM,What is the term for the psychological phenomenon where individuals lose self-awareness in groups? ,Conformity,FALSE,Social loafing,FALSE,Deindividuation,TRUE,Groupthink,FALSE
301,psychology,MEDIUM,What is the term for the belief that one has control over outcomes that they do not actually influence? ,Illusion of control,TRUE,Fundamental attribution error,FALSE,Optimism bias,FALSE,Self-serving bias,FALSE
302,psychology,MEDIUM,What is the term for the process of gradually reducing emotional response to a stimulus? ,Desensitization,TRUE,Extinction,FALSE,Conditioning,FALSE,Habituation,FALSE
303,psychology,MEDIUM,Which psychological approach emphasizes the importance of mental processes in understanding behavior? ,Behaviorism,FALSE,Cognitive psychology,TRUE,Psychoanalysis,FALSE,Humanistic psychology,FALSE
304,psychology,MEDIUM,What is the term for a consistent pattern of behavior.  thoughts. and feelings that differentiate individuals? ,Temperament,FALSE,Identity,FALSE,Personality,TRUE,Character,FALSE
305,psychology,MEDIUM,What is the term for the psychological condition characterized by excessive. uncontrollable worry? ,Obsessive-compulsive disorder,FALSE,Phobia,FALSE,Generalized anxiety disorder,TRUE,Panic disorder,FALSE
306,psychology,MEDIUM,What is the name of the psychological test that measures personality traits through self-report? ,MMPI,TRUE,Thematic Apperception Test,FALSE,Rorschach test,FALSE,Beck Depression Inventory,FALSE
307,psychology,MEDIUM,What is the term for the mental capacity to understand and manage emotions? ,Emotional intelligence,TRUE,Cognitive ability,FALSE,Personality traits,FALSE,Social intelligence,FALSE
308,psychology,MEDIUM,What is the term for the tendency to seek out information that supports one’s existing beliefs? ,Confirmation bias,TRUE,Availability heuristic,FALSE,Anchoring bias,FALSE,Group bias,FALSE
309,psychology,MEDIUM,What is the term for the psychological condition characterized by a fear of being judged in social situations? ,Agoraphobia,FALSE,Panic disorder,FALSE,Social anxiety disorder,TRUE,Specific phobia,FALSE
310,psychology,MEDIUM,What is the focus of cognitive-behavioral therapy? ,Using medication to treat symptoms,FALSE,Changing negative thought patterns,TRUE,Developing social skills,FALSE,Exploring childhood experiences,FALSE
311,psychology,MEDIUM,What is the term for the phenomenon where a person feels less responsible to act when others are present? ,Social loafing,FALSE,Conformity,FALSE,Bystander effect,TRUE,Diffusion of responsibility,FALSE
312,psychology,MEDIUM,What is the term for a treatment that helps individuals improve self-awareness and self-acceptance? ,Humanistic therapy,TRUE,Psychoanalytic therapy,FALSE,Cognitive therapy,FALSE,Behavioral therapy,FALSE
313,psychology,MEDIUM,Which type of reinforcement schedule provides reinforcement after a set number of responses? ,Fixed interval schedule,FALSE,Variable interval schedule,FALSE,Variable ratio schedule,FALSE,Fixed ratio schedule,TRUE
314,psychology,MEDIUM,What is the term for the phenomenon where individuals modify their behavior in response to being observed? ,Social loafing,FALSE,Hawthorne effect,TRUE,Social facilitation,FALSE,Groupthink,FALSE
315,psychology,MEDIUM,What is the term for a psychological condition characterized by intense fear of a specific object or situation? ,Phobia,TRUE,Generalized anxiety disorder,FALSE,Panic disorder,FALSE,Anxiety disorder,FALSE
316,psychology,MEDIUM,What is the term for the cognitive bias where people believe they were able to foresee an outcome after it has occurred? ,Overconfidence bias,FALSE,Hindsight bias,TRUE,Attribution bias,FALSE,Self-serving bias,FALSE
317,psychology,MEDIUM,What is the primary focus of neuropsychology? ,Mental health treatment,FALSE,The relationship between brain function and behavior,TRUE,Child development,FALSE,Social interactions,FALSE
318,psychology,MEDIUM,What is the term for the belief that one’s group is superior to others? ,Out-group bias,FALSE,Social identity,FALSE,In-group bias,TRUE,Groupthink,FALSE
319,psychology,MEDIUM,What is the term for the psychological condition characterized by periods of extreme mood swings? ,Bipolar disorder,TRUE,Schizophrenia,FALSE,Major depressive disorder,FALSE,Anxiety disorder,FALSE
320,psychology,MEDIUM,What is the term for the process of gradually exposing a person to feared stimuli? ,Desensitization,FALSE,Exposure therapy,TRUE,Cognitive restructuring,FALSE,Behavioral modification,FALSE
321,psychology,MEDIUM,What is the term for a strong emotional response to a memory? ,Cognition,FALSE,Mood,FALSE,Affect,TRUE,Emotion,FALSE
322,psychology,MEDIUM,What is the focus of developmental psychology? ,Cognitive processes,FALSE,Social behavior,FALSE,Human growth and changes over the lifespan,TRUE,Mental disorders,FALSE
323,psychology,MEDIUM,What is the psychological term for the technique used to help clients understand their feelings? ,Transference,FALSE,Therapeutic alliance,TRUE,Active listening,FALSE,Countertransference,FALSE
324,psychology,MEDIUM,What is the term for a psychological evaluation method that uses ambiguous stimuli? ,Behavioral assessment,FALSE,Projective test,TRUE,Cognitive test,FALSE,Standardized test,FALSE
325,psychology,MEDIUM,Which psychological disorder is characterized by sudden.  unpredictable panic attacks? ,Generalized anxiety disorder,FALSE,Phobia,FALSE,Panic disorder,TRUE,OCD,FALSE
326,psychology,MEDIUM,What is the term for the tendency to attribute others�?behavior to their character while attributing your own to circumstances? ,Optimism bias,FALSE,Self-serving bias,FALSE,Actor-observer effect,FALSE,Fundamental attribution error,TRUE
327,psychology,MEDIUM,What is the name of the model that explains the stages of human development from birth to adulthood? ,Skinner's operant conditioning,FALSE,Kohlberg's moral development,FALSE,Piaget's cognitive development,FALSE,Erikson's psychosocial development,TRUE
